"id","name","email","logo","city","state","country","updated_at","created_at","config","network_name","parent_org_id"
72,"Doctor Tony",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-25 07:40:34.250056","{}",NULL,66
73,"Shoe Bang",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-26 03:21:34.011621","{}",NULL,66
74,"Jim Tom Dong Tooth Polishing",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-26 05:36:00.380092","{}",NULL,66
75,"DEMO Tony Dental Clinic",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-26 05:36:46.391635","{}",NULL,66
76,"Phillip Dentistry Practice",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-26 17:34:03.273633","{}",NULL,66
77,"DEMO Max Dental Clinic","chris@proofmarket.io",NULL,NULL,NULL,NULL,NULL,"2020-06-29 19:36:20.360631","{}",NULL,66
78,"DEMO Chris Dental Clinic",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-29 19:39:13.233275","{}",NULL,66
79,"DEMO Brian Dental Clinic",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-29 19:43:00.341238","{}",NULL,66
80,"DEMO Tony Dental Clinic 2",NULL,NULL,NULL,NULL,NULL,NULL,"2020-06-29 19:51:36.529657","{}",NULL,66
81,"Stage Office1",NULL,NULL,NULL,NULL,NULL,NULL,"2020-07-02 20:17:52.779864","{}",NULL,66
82,"Stage Office2",NULL,NULL,NULL,NULL,NULL,NULL,"2020-07-02 21:49:11.088601","{}",NULL,66
83,"Stageqa o4",NULL,NULL,NULL,NULL,NULL,NULL,"2020-07-28 23:21:07.931027","{}",NULL,66
84,"Phillip Verifier",NULL,NULL,NULL,NULL,NULL,NULL,"2020-08-10 06:52:34.011439","{""streetcred"":{""policyId"":""0948e2cb-84ae-495c-71a2-08d82b83a3e8"",""definitionId"":""GgNB9zxY2MbsKmx6b52GHA:3:CL:123515:mc""}}",NULL,66
